id,Name_x,FIPS,year,VAC(vacantHousing),PMC,POV(poverty),UMP(unemployment),EDE (highschooldiploma),SNQ(foodaccess),HousingEviction_rate,RBS(Rentburdened),Opioidrate,x,y
82,East Side,52,2017,15.29870521,11.57816219,20.11228704,16.1070333,11.0797728,29.14810923,2.52,34.33063507,15,-87.534907,41.707306
83,West Pullman,53,2017,17.20858008,11.625948,27.95027194,24.72418476,16.53171414,27.48467061,7.27,33.52978381,38.5,-87.635745,41.67382
84,Riverdale,54,2017,24.86956499,11.62819516,62.82495694,34.6883467,3.911670362,28.94200942,7.06,25.68988351,63.5,-87.602849,41.660137
85,Hegewisch,55,2017,10.58519169,11.60877167,14.7163772,8.451438113,16.67369354,53.3622164,3.99,25.45302536,18.1,-87.556803,41.668188
86,Beverly,72,2017,4.34667752,11.64301742,4.283760111,5.986219803,56.39396981,89.78989337,3.59,15.89062395,2.8,-87.675072,41.713148
87,Washington Heights,73,2017,8.331935393,11.65607906,19.38868753,17.86109133,21.85730555,47.61036896,5.03,44.13093859,31.7,-87.648897,41.717495
88,Mount Greenwood,74,2017,6.216252277,11.60118936,3.743779385,3.506885856,35.62560624,74.85021072,3.24,14.96325013,14.9,-87.713189,41.694876
89,Morgan Park,75,2017,10.43767667,11.62357534,18.33320187,13.07836978,33.38011818,54.80124092,3.48,27.0461189,11.7,-87.669062,41.689729
90,Douglas,35,2017,10.4587678,11.70109083,34.12942701,14.24461929,41.95723661,56.4587223,3.64,29.23049937,37.3,-87.61868,41.835122
91,Oakland,36,2017,8.102586982,11.67983857,29.25642215,22.99362104,28.35897941,20.6001282,7.03,21.90661439,51,-87.603217,41.823754
92,Fuller Park,37,2017,30.1767554,11.70008674,28.54233568,32.07107008,12.96345127,26.67972882,4.31,31.23661678,73.6,-87.632427,41.809082
93,Grand Boulevard,38,2017,16.29855082,11.68517662,33.58832646,22.20378097,26.94859049,32.74554216,4.99,30.80926439,26.4,-87.61786,41.812947
94,Kenwood,39,2017,10.7755969,11.65244041,20.76870338,9.962099529,56.3228685,59.97745096,4.76,27.4488108,15.6,-87.596186,41.808918
95,Washington Park,40,2017,22.46879992,11.68202749,42.07375512,23.1421214,17.87215019,17.70101612,7.22,36.46806359,29,-87.617936,41.792356
96,Hyde Park,41,2017,12.6078999,11.64518789,22.46270374,7.227823176,79.20371989,85.80070644,2.72,33.355301,6.3,-87.592305,41.794088
97,Woodlawn,42,2017,20.14537017,11.64401756,37.5196995,15.18537485,29.56154247,34.81275675,5.8,34.16971634,21.6,-87.594924,41.778877
98,South Shore,43,2017,22.65067932,11.61351347,37.26238113,18.33121583,24.94160938,38.92090281,8.6,39.68061467,34.8,-87.57279,41.761583
99,Chatham,44,2017,16.04579272,11.66790551,24.207415,19.24727234,26.91047023,50.77189725,7.36,38.95236513,25.6,-87.615965,41.740206
100,Avalon Park,45,2017,14.95959285,11.63834392,18.94149809,17.86922629,23.51957157,33.90687304,4.95,34.29050078,16.7,-87.586347,41.744197
101,South Chicago,46,2017,28.77333719,11.57925282,31.92021924,22.3972154,15.47511113,32.86785631,6.52,31.26991798,40.3,-87.551435,41.741243
102,West Englewood,67,2017,24.42051404,11.69267396,34.24595954,31.12585774,7.829257962,29.46841261,6.23,34.46772159,24.6,-87.666598,41.775926
103,Englewood,68,2017,35.46182998,11.68780283,45.1407005,33.85353748,6.91958043,26.41152624,6.23,38.6041044,34.9,-87.642502,41.777201
104,Greater Grand Crossing,69,2017,21.02968757,11.67616017,38.8549827,24.35403296,15.33832867,32.51380668,6.72,38.95804071,45.6,-87.616139,41.763251
105,Auburn Gresham,71,2017,16.24836602,11.67497877,29.75856275,21.63905571,15.6486756,37.50014263,6.07,37.47600159,32.6,-87.656305,41.744203
106,Rogers Park,1,2017,13.2117622,11.04872907,24.90534622,7.419523282,43.22398257,49.00639583,2.41,28.36276633,26,-87.670171,42.00963
107,West Ridge,2,2017,10.35891045,11.12278756,18.86214152,8.517504298,41.50757111,47.4968279,2.48,28.30077915,7.2,-87.695017,42.001583
108,Uptown,3,2017,10.14048352,11.27092349,19.56755899,5.635729707,60.39810366,57.84950358,1.71,21.88826861,18.5,-87.655899,41.965822
109,Loop,32,2017,18.81740101,11.63022527,12.84745601,5.424005176,80.59360647,90.29983304,2.03,21.08115286,10.7,-87.625194,41.878881
110,Near South Side,33,2017,8.797053751,11.70466819,12.09156853,3.367694048,70.38961513,45.45730537,3.59,20.99691647,16.5,-87.620344,41.857196
111,Lincoln Square,4,2017,8.11393448,11.25945977,9.48089012,4.175240386,61.99151699,72.41939289,0.85,17.74331732,7.4,-87.687513,41.975182
112,North Center,5,2017,9.257587216,11.37753383,5.139853649,3.865881788,67.17360474,75.532657,0.52,11.66325675,9.3,-87.683839,41.947811
113,Lake View,6,2017,8.46239914,11.3705091,8.765066428,3.079066262,79.62649068,85.00090669,0.75,14.48519664,22.6,-87.656001,41.944236
114,Lincoln Park,7,2017,8.497787472,11.45709776,10.76586974,3.234392545,83.23674007,79.1432395,0.59,15.04343549,6.5,-87.649491,41.922696
115,Edgewater,77,2017,10.18039626,11.17121759,15.22715365,5.908841458,56.50801595,70.90457654,1.83,21.26197007,16.5,-87.663419,41.986719
116,Near North Side,8,2017,13.10064542,11.54967396,10.73057044,3.541856075,75.83671166,69.47434306,1.64,14.95515947,7.3,-87.633318,41.899611
117,Armour Square,34,2017,8.597937137,11.70733608,41.436844,16.39581567,20.93562139,44.49681893,0.52,24.09007742,14.7,-87.633976,41.842083
118,Garfield Ridge,56,2017,5.459482207,11.67101118,7.455544546,9.924672013,20.40073283,58.05128195,2.11,21.5683831,9.7,-87.764246,41.796185
119,Archer Heights,57,2017,7.801270394,11.69236731,18.64496333,9.666280765,11.70015311,39.17358199,2.32,18.07882564,0,-87.726365,41.810873
120,Brighton Park,58,2017,11.09002685,11.69785005,24.98230399,9.766504287,9.912843883,46.11754231,2.73,24.20325783,3.6,-87.698859,41.817364
121,McKinley Park,59,2017,6.735714415,11.69910817,26.15978243,11.41601996,22.7464099,44.18318485,2.43,26.37676226,19.8,-87.6725,41.829927
122,Bridgeport,60,2017,7.640312984,11.70267387,17.33955764,8.783496082,31.22574227,55.43691768,1.29,25.08659014,15.6,-87.648784,41.836151
123,New City,61,2017,19.18244847,11.69947945,27.00430451,17.21346965,10.2217312,43.25865029,3.85,24.8116189,30.6,-87.659171,41.809017
124,West Elsdon,62,2017,5.632622696,11.69515485,10.78220484,11.66885192,10.7328366,52.6625573,2.78,17.19538479,0,-87.724213,41.792977
125,Gage Park,63,2017,10.69652189,11.69705419,18.15916159,13.91416233,5.961515051,36.36612619,3.06,22.44401757,10.3,-87.696433,41.795429
126,Clearing,64,2017,5.206288621,11.67204128,9.237987739,9.577198031,18.08624932,44.15643006,2.69,19.91562505,23.4,-87.768517,41.779582
127,West Lawn,65,2017,10.80689122,11.68330614,15.38357546,12.52684742,11.78404826,39.75053813,3.63,28.82179925,27.7,-87.726927,41.769774
128,Chicago Lawn,66,2017,16.48324761,11.68557738,28.92608241,24.38302038,8.746863375,31.95130784,5.34,37.96475219,33,-87.695667,41.771849
129,Ashburn,70,2017,4.8396101,11.66236153,11.88370327,13.3340186,21.04528467,60.38931292,4.61,33.23906798,16.9,-87.708363,41.745756
130,Humboldt Park,23,2017,13.82321235,11.56278661,30.77030317,12.43111568,14.17822114,31.66199677,4.07,28.36235941,68.8,-87.720917,41.90008
131,West Town,24,2017,9.09218446,11.55459439,12.52787309,4.802143652,65.06825025,60.88787797,1.07,15.469293,19.6,-87.676358,41.901216
132,Austin,25,2017,14.00282977,11.55307419,27.47276967,15.06084309,15.23734227,39.20337149,6.17,37.31471925,64.6,-87.763117,41.894113
133,West Garfield Park,26,2017,27.98551114,11.63268802,42.57764481,19.8248913,4.9900273,25.78129383,6.67,40.83290374,64.8,-87.730233,41.878602
134,East Garfield Park,27,2017,17.64320755,11.62786281,44.68042171,19.21330793,14.41732959,23.93852573,5.47,39.16308018,79.2,-87.705892,41.878923
135,Near West Side,28,2017,8.894221898,11.64681175,26.37649126,9.943240263,56.44210439,61.72897663,1.7,19.74118508,41.1,-87.663513,41.874016
